"license-plate-number";"customer-return-date";"asin";"sku";"Brand";"Product Name";"amazon-order-id";"quantity";"Collection_Order";"delivery-date-biarritz";"device-serial-number";"item-status";"RMA KP";"ID ";"RMA batch";"LaRoca"
"LPNHE553324020";14/06/2021;"B08YXBSP6X";"SNS-ROAM1R21BLK";"SONOS";"SONOS ROAM BLACK";"405-6953673-5309132";1;;21/09/2021;"A1002102WC54-2A-1B-43-AB-10-9";"Used";"yes";"PRG210922733412";22/09/2021;"x"
"LPNHE557048397";18/06/2021;"B091V4NNKW";"SNS-RMWCHEU1";"SONOS";"SONOS ROAM CHARGER WHITE";"404-3902050-3293924";1;;21/09/2021;;"Used";"yes";"PRG210922733412";22/09/2021;"x"
"LPNIC015821814";01/06/2021;"B08YXBSP6X";"SNS-ROAM1R21BLK";"SONOS";"SONOS ROAM BLACK";"408-4606280-2674738";1;;21/09/2021;;"Used";"yes";"PRG210922733412";22/09/2021;"x"
"LPNIC015821814";01/06/2021;"B08YXBSP6X";"SNS-ROAM1R21BLK";"SONOS";"SONOS ROAM BLACK";"408-4606280-2674738";1;;21/09/2021;;"Used";"yes";"PRG210922733412";22/09/2021;"x"
"LPNIC009439206";29/01/2021;"B07WRK2696";"SNS-ONESLEU1";"SONOS";"SONOS ONESL WHITE";"171-1501712-7959559";1;;21/09/2021;"A1002009CP5C-AA-FD-B4-E2-B4-6";"Used";"yes";"PRG210922733412";22/09/2021;"x"
"LPNHE577761414";20/07/2021;"B08HQWV41Z";"P3D2449";"PAX";"PAX3 BASIC ONYX";"028-5389134-7721922";1;;06/10/2021;"VVK38JMN";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE565354115";06/08/2021;"B08HQWV41Z";"P3D2449";"PAX";"PAX3 BASIC ONYX";"306-7130299-9196368";1;;06/10/2021;"G8WN2RTT";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE573672304";02/08/2021;"B01N76NN0J";"P2A1737";"PAX";"PAX HALF PACK OVEN LID";"405-2084583-3297942";1;;;;"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE548713027";16/07/2021;"B075XNRRG4";"P3D2077";"PAX";"PAX2 BRUSHED CHARCOAL";"403-2609494-7520342";1;;;"KHMPNFGJ";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE579229490";05/08/2021;"B08HPXDBG2";"P3D2450";"PAX";"PAX3 BASIC SAND";"405-9026091-5460320";1;;;"RGFVTWKJ";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
