"External Document No_";"Location Code";"Document No_";"Package Tracking No_";"Customer No_";"Name";"Item No_"
"171-0404613-4481965";"AMAZON";"DSRF21000267";"LPNHE611214937";"000230";"AMAZON PAX ES";"PX-P2D2077"
"407-8123583-5087531";"AMAZON";"DSRF21000207";"LPNHE611257190";"000230";"AMAZON PAX ES";"PX-P3D2449"
"404-2340360-5517129";"AMAZON";"DSRF21000214";"LPNHE611546458";"000230";"AMAZON PAX ES";"SNS-ONEG2EU1BLK"
"404-2340360-5517129";"AMAZON";"DSRF21000212";"LPNHE611546459";"000230";"AMAZON PAX ES";"SNS-MOVE1EU1BLK"
"404-2340360-5517129";"AMAZON";"DSRF21000213";"LPNHE611546460";"000230";"AMAZON PAX ES";"SNS-ONEG2EU1BLK"
"406-0499847-3997134";"AMAZON";"DSRF21000132";"LPNHE611598844";"000230";"AMAZON PAX ES";"PX-P2A1737"
"403-4939175-0091540";"AMAZON";"DSRF21000120";"LPNHE611602022";"000230";"AMAZON PAX ES";"X-MS2000-7"
"408-3201319-2333120";"AMAZON";"DSRF21000162";"LPNHE611975166";"000230";"AMAZON PAX ES";"SNS-RMWCHEU1"
"305-5022487-9873918";"AMAZON";"DSRF21000223";"LPNHE614849759";"000193";"AMAZON PAX DE";"PX-P2A1740"
"305-5022487-9873918";"AMAZON";"DSRF21000222";"LPNHE614849774";"000193";"AMAZON PAX DE";"PX-P2A1741"
"171-1365088-7309923";"AMAZON";"DSR22000427";"LPNHE615386134";"000230";"AMAZON PAX ES";"SNS-ONESLEU1"
"402-9960818-6621907";"AMAZON";"PDVF22/001259";"LPNHE616457908";"000230";"AMAZON PAX ES";
"405-8339575-1894727";"AMAZON";"PDVF22/001116";"LPNHE616525832";"000230";"AMAZON PAX ES";
"171-1695548-1488350";"AMAZON";"PDVF22/001112";"LPNHE616526186";"000230";"AMAZON PAX ES";
"171-9314357-7593141";"AMAZON";"PDVF22/001019";"LPNHE616616133";"000230";"AMAZON PAX ES";
"407-1042807-4089163";"AMAZON";"PDVF22/001001";"LPNHE616673520";"000230";"AMAZON PAX ES";
"304-8288832-7446731";"AMAZON";"PDVF22/001471";"LPNHE617423379";"000193";"AMAZON PAX DE";
"402-5578216-4087569";"AMAZON";"DSR22000355";"LPNHE618308470";"000222";"AMAZON PAX FR";"MI-EVO12"
"302-9039356-5680319";"AMAZON";"DSR22000377";"LPNHE618571242";"000193";"AMAZON PAX DE";"MI-EVO15"
"304-0293256-6189140";"AMAZON";"DSR22000333";"LPNHE619263254";"000193";"AMAZON PAX DE";"MI-EVO9"
"028-0512360-0470767";"AMAZON";"DSR22000327";"LPNHE619685045";"000193";"AMAZON PAX DE";"MI-EVO18"
"405-7985704-4045918";"AMAZON";"PDVF22/000984";"LPNHE619827396";"000230";"AMAZON PAX ES";
"304-4431273-5829142";"AMAZON";"PDVF22/001005";"LPNHE620384734";"000193";"AMAZON PAX DE";
"408-7118059-6328315";"AMAZON";"PDVF22/001033";"LPNHE620434621";"000222";"AMAZON PAX FR";
"171-1974008-8775561";"AMAZON";"DSR22000315";"LPNHE621340409";"000163";"AMAZON PAX IT";"MI-EVO13"
"302-5509387-2845131";"AMAZON";"DSR22000320";"LPNHE621537410";"000193";"AMAZON PAX DE";"MI-EVO7"
"306-6127914-5348309";"AMAZON";"DSR22000314";"LPNHE621849926";"000193";"AMAZON PAX DE";"MI-EVO18"
"304-3383322-8194740";"AMAZON";"DSR22000321";"LPNHE621859274";"000193";"AMAZON PAX DE";"MI-EVO18"
"171-2707954-3514742";"AMAZON";"DSR22000259";"LPNHE621962757";"000222";"AMAZON PAX FR";"MI-EVO7"
"305-4783192-2620327";"AMAZON";"DSR22000257";"LPNHE622026351";"000193";"AMAZON PAX DE";"MI-EVO15"
"402-9522782-2012345";"AMAZON";"DSR22000027";"LPNHE623775942";"000222";"AMAZON PAX FR";"MI-EVO12"
"171-6448761-1350754";"AMAZON";"DSR22000021";"LPNHE624661281";"000163";"AMAZON PAX IT";"MI-EVO13"
"403-9389997-1236354";"AMAZON";"PDVF22/000029";"LPNHE624667443";"000163";"AMAZON PAX IT";
"405-4693319-5490719";"AMAZON";"DSR22000313";"LPNHE624676758";"000222";"AMAZON PAX FR";"MI-SOSEVO8"
"028-0184030-9313162";"AMAZON";"DSR22000016";"LPNHE625103210";"000193";"AMAZON PAX DE";"PX-P2A1740"
"305-4710785-2398726";"AMAZON";"DSR22000285";"LPNHE625983299";"000193";"AMAZON PAX DE";"MI-EVO15"
"402-6377043-1804348";"AMAZON";"DSR22000290";"LPNHE626011816";"000163";"AMAZON PAX IT";"MI-EVO10"
"305-0440606-5924300";"AMAZON";"DSR22000280";"LPNHE628639229";"000193";"AMAZON PAX DE";"MI-EVO15"
"406-9117117-8680341";"AMAZON";"PDVF22/000811";"LPNHE628740698";"000163";"AMAZON PAX IT";
"306-7372187-0061141";"AMAZON";"PDVF22/001072";"LPNHE629805739";"000193";"AMAZON PAX DE";
"406-7023451-0768318";"AMAZON";"PDVF22/001061";"LPNHE632690921";"000222";"AMAZON PAX FR";
"302-6577368-9617152";"AMAZON";"DSR22000362";"LPNHE632986156";"000193";"AMAZON PAX DE";"MI-EVO6"
"305-0440606-5924300";"AMAZON";"DSR22000278";"LPNHE633634848";"000193";"AMAZON PAX DE";"MI-EVO15"
"306-6194334-5575559";"AMAZON";"PDVF22/000796";"LPNHE633831603";"000193";"AMAZON PAX DE";
"302-9887420-4183524";"AMAZON";"PDVF22/001122";"LPNHE633898075";"000193";"AMAZON PAX DE";
"406-0313028-9922736";"AMAZON";"PDVF22/001050";"LPNHE634785733";"000222";"AMAZON PAX FR";
"303-8681830-8030759";"AMAZON";"DSR22000276";"LPNHE635625638";"000193";"AMAZON PAX DE";"MI-EVO6"
"028-4870683-1865142";"AMAZON";"DSR22000351";"LPNHE635659620";"000193";"AMAZON PAX DE";"MI-EVO19"
"028-9080045-4668354";"AMAZON";"DSR22000390";"LPNHE637042588";"000193";"AMAZON PAX DE";"PX-P2A1017"
"304-4399932-5153136";"AMAZON";"DSR22000374";"LPNHE637147714";"000193";"AMAZON PAX DE";"MI-EVO9"
"302-5045996-3010745";"AMAZON";"PDVF22/001121";"LPNHE637160197";"000193";"AMAZON PAX DE";
"302-7876361-2529148";"AMAZON";"DSR22000431";"LPNHE637900450";"000193";"AMAZON PAX DE";"PX-P3D2449"
"407-5402831-2649927";"AMAZON";"PDVF22/000771";"LPNHE637907380";"000163";"AMAZON PAX IT";
"306-8562123-0548318";"AMAZON";"PDVF22/000768";"LPNHE638052115";"000193";"AMAZON PAX DE";
"171-8359253-5149163";"AMAZON";"PDVF22/001279";"LPNHE640740150";"000222";"AMAZON PAX FR";
"408-9689597-6351546";"AMAZON";"PDVF22/001215";"LPNHE641121864";"000163";"AMAZON PAX IT";
"171-0170808-9273960";"AMAZON";"PDVF22/001274";"LPNHE641565990";"000163";"AMAZON PAX IT";
"171-5867241-4869143";"AMAZON";"PDVF22/001426";"LPNHE642620691";"000230";"AMAZON PAX ES";
"402-0072697-0521976";"AMAZON";"PDVF22/001179";"LPNHE642656423";"000230";"AMAZON PAX ES";
"402-0072697-0521976";"AMAZON";"PDVF22/001178";"LPNHE642656424";"000230";"AMAZON PAX ES";
"403-2900380-0305920";"AMAZON";"PDVF22/001469";"LPNHE642836876";"000230";"AMAZON PAX ES";
"171-7858628-7538722";"AMAZON";"PDVF22/001448";"LPNHE642845725";"000230";"AMAZON PAX ES";
"402-3674742-7735506";"AMAZON";"PDVF22/001502";"LPNHE642948936";"000230";"AMAZON PAX ES";
"406-2759009-0527521";"AMAZON";"PDVF22/001197";"LPNHE643246578";"000230";"AMAZON PAX ES";
"403-4939795-8418738";"AMAZON";"PDVF22/001258";"LPNHE643744198";"000230";"AMAZON PAX ES";
"407-9525945-3396302";"AMAZON";"PDVF22/001309";"LPNHE643841952";"000230";"AMAZON PAX ES";
"402-5949181-1818727";"AMAZON";"PDVF22/001246";"LPNHE643881349";"000230";"AMAZON PAX ES";
"408-2134546-2466754";"AMAZON";"PDVF22/001217";"LPNHE643956778";"000230";"AMAZON PAX ES";
"404-2266582-5920305";"AMAZON";"PDVF22/001288";"LPNHE643962882";"000222";"AMAZON PAX FR";
"171-8807298-4886703";"AMAZON";"PDVF22/001264";"LPNHE643991230";"000230";"AMAZON PAX ES";
"406-3684030-8202710";"AMAZON";"PDVF22/001253";"LPNHE644439400";"000163";"AMAZON PAX IT";
"406-3684030-8202710";"AMAZON";"PDVF22/001251";"LPNHE644439405";"000163";"AMAZON PAX IT";
"402-4580672-9839521";"AMAZON";"PDVF22/001449";"LPNHE644952656";"000163";"AMAZON PAX IT";
"303-3748990-1801918";"AMAZON";"PDVF22/001176";"LPNHE645937369";"000193";"AMAZON PAX DE";
"407-0693643-4617906";"AMAZON";"PDVF22/001180";"LPNHE646024386";"000222";"AMAZON PAX FR";
"302-1301340-6038758";"AMAZON";"PDVF22/000972";"LPNHE647480254";"000193";"AMAZON PAX DE";
"404-5076348-2402721";"AMAZON";"PDVF22/001193";"LPNHE648372842";"000163";"AMAZON PAX IT";
"404-6694988-4384323";"AMAZON";"PDVF22/001184";"LPNHE649145035";"000163";"AMAZON PAX IT";
"306-6826330-7087542";"AMAZON";"PDVF22/001237";"LPNHE649973852";"000193";"AMAZON PAX DE";
"171-3977183-3638761";"AMAZON";"PDVF22/001491";"LPNHE650263308";"000222";"AMAZON PAX FR";
"408-0838476-4639556";"AMAZON";"PDVF22/001305";"LPNHE651232764";"000163";"AMAZON PAX IT";
"403-1292590-5941158";"AMAZON";"PDVF22/001252";"LPNHE651425353";"000163";"AMAZON PAX IT";
"407-1963541-5713112";"AMAZON";"PDVF22/001321";"LPNHE653092444";"000163";"AMAZON PAX IT";
"028-1225008-3346722";"AMAZON";"PDVF22/001358";"LPNHE653384124";"000193";"AMAZON PAX DE";
"403-8671945-8533115";"AMAZON";"PDVF22/001177";"LPNHE654123443";"000222";"AMAZON PAX FR";
"402-2211678-3333926";"AMAZON";"PDVF22/001380";"LPNHE657233112";"000163";"AMAZON PAX IT";
"028-3414050-0501111";"AMAZON";"PDVF22/001383";"LPNHE657576359";"000193";"AMAZON PAX DE";
"303-5105252-3629133";"AMAZON";"PDVF22/001363";"LPNHE657965397";"000193";"AMAZON PAX DE";
"403-9751580-2746726";"AMAZON";"PDVF22/001404";"LPNHE663215409";"000163";"AMAZON PAX IT";
"171-5844097-9482767";"AMAZON";"PDVF22/001382";"LPNHE664918017";"000222";"AMAZON PAX FR";
"304-8798905-6161903";"AMAZON";"PDVF22/001398";"LPNHE664928761";"000193";"AMAZON PAX DE";
"402-9386418-4105159";"AMAZON";"PDVF22/001443";"LPNHE666212029";"000163";"AMAZON PAX IT";
"402-2606476-8534754";"AMAZON";"PDVF22/001367";"LPNHE666285200";"000222";"AMAZON PAX FR";
"406-1723006-8889948";"AMAZON";"PDVF22/001417";"LPNHE667573499";"000163";"AMAZON PAX IT";
"405-5209945-0839534";"AMAZON";"PDVF22/001460";"LPNHE667627909";"000163";"AMAZON PAX IT";
"407-1275333-0904333";"AMAZON";"PDVF22/001463";"LPNHE667915149";"000163";"AMAZON PAX IT";
"304-1158354-6205116";"AMAZON";"DSR21000805";"LPNHK017492665";"000193";"AMAZON PAX DE";"PX-P2A1741"
"404-9840622-4159557";"AMAZON";"DSR21000323";"LPNHK040197623";"000222";"AMAZON PAX FR";"X-RSD0177CE"
"407-7290237-8477911";"AMAZON";"DSR21000317";"LPNHK040313880";"000222";"AMAZON PAX FR";"X-RSD0177CE"
"304-7252922-2528322";"AMAZON";"DSR21000153";"LPNHK045264999";"000193";"AMAZON PAX DE";"PX-P2A1737"
"305-1122737-7900346";"AMAZON";"DSR21000188";"LPNHK046273317";"000193";"AMAZON PAX DE";"PX-P2A1737"
"303-7054625-9205910";"AMAZON";"DSR21000236";"LPNHK047454751";"000193";"AMAZON PAX DE";"PX-P2A1737"
"305-1122737-7900346";"AMAZON";"DSR21000185";"LPNHK049630238";"000193";"AMAZON PAX DE";"PX-P2A1017"
"028-2937201-3957949";"AMAZON";"DSR21000410";"LPNHK054168390";"000193";"AMAZON PAX DE";"X-RSD0177CE"
"404-3348286-3864327";"AMAZON";"DSR21000298";"LPNHK054217303";"000222";"AMAZON PAX FR";"X-RSD0177CE"
"403-9170673-2595555";"AMAZON";"DSR21000412";"LPNHK054313279";"000222";"AMAZON PAX FR";"X-RSD0106CE"
"303-7678380-1834724";"AMAZON";"DSR21001141";"LPNHK055233180";"000193";"AMAZON PAX DE";"PX-P2A1741"
"305-0302463-4749918";"AMAZON";"DSR21000745";"LPNHK056793677";"000193";"AMAZON PAX DE";"PX-P2A1737"
"305-8163384-9654713";"AMAZON";"DSR21000785";"LPNHK057380866";"000193";"AMAZON PAX DE";"PX-P2A1741"
"028-1640252-4432307";"AMAZON";"DSR21000784";"LPNHK057494375";"000193";"AMAZON PAX DE";"PX-P2A1741"
