"Node root";"Node ID";"Node Path";"Node Id in UK";"Node Id in DE";"Node Id in FR";"Node Id in ES"
"it-apparel";1806507031;"/Categorie/Prima infanzia/Bambina 0-24/Gonne e gonne pantalone";1730721031;1981090031;465007031;1909407031
"it-apparel";1806509031;"/Categorie/Prima infanzia/Bambina 0-24/Pigiami e accappatoi/Camicie da notte";1730723031;1981092031;465019031;1909409031
"it-apparel";1806510031;"/Categorie/Prima infanzia/Bambina 0-24/Pigiami e accappatoi/Pantaloni da notte";1730724031;1981093031;465016031;1909410031
"it-apparel";1806511031;"/Categorie/Prima infanzia/Bambina 0-24/Pigiami e accappatoi/Pigiami due pezzi";1730725031;1981094031;465017031;1909411031
"it-apparel";1806512031;"/Categorie/Prima infanzia/Bambina 0-24/Pigiami e accappatoi/Magliette da notte";1730726031;1981095031;465015031;1909412031
"it-apparel";1806513031;"/Categorie/Prima infanzia/Bambina 0-24/Pigiami e accappatoi/Accappatoi";1730727031;1981096031;465020031;1909413031
"it-apparel";1806514031;"/Categorie/Prima infanzia/Bambina 0-24/Pigiami e accappatoi/Sacchi nanna";1730728031;1981097031;465021031;1909414031
"it-apparel";1806515031;"/Categorie/Prima infanzia/Bambina 0-24/Pigiami e accappatoi/Pigiami interi";1730729031;1981098031;2308671031;1909415031
"it-apparel";1806517031;"/Categorie/Prima infanzia/Bambina 0-24/Neve e pioggia/Pantaloni per la pioggia";1730731031;1981100031;465013031;1909417031
"it-apparel";1806518031;"/Categorie/Prima infanzia/Bambina 0-24/Neve e pioggia/Giacche per la pioggia";1730732031;1981101031;495169031;1909418031
"it-apparel";1806519031;"/Categorie/Prima infanzia/Bambina 0-24/Neve e pioggia/Pantaloni e salopette da neve";1730733031;1981102031;495168031;1909419031
"it-apparel";1806520031;"/Categorie/Prima infanzia/Bambina 0-24/Neve e pioggia/Tutone & Tute da neve";1730734031;1981103031;495167031;1909420031
"it-apparel";1806522031;"/Categorie/Prima infanzia/Bambina 0-24/Calze e calzamaglie/Scaldamuscoli";1730736031;1981105031;465025031;1909422031
"it-apparel";1806523031;"/Categorie/Prima infanzia/Bambina 0-24/Calze e calzamaglie/Calzini";1730737031;1981106031;465023031;1909423031
"it-apparel";1806524031;"/Categorie/Prima infanzia/Bambina 0-24/Calze e calzamaglie/Calzamaglie";1730738031;1981107031;465024031;1909424031
"it-apparel";1806526031;"/Categorie/Prima infanzia/Bambina 0-24/Mare e piscina/Copricostumi";1730741031;1981110031;465035031;1909426031
"it-apparel";1806527031;"/Categorie/Prima infanzia/Bambina 0-24/Mare e piscina/Costumi interi e a mutandina";1730742031;1981111031;465032031;1909427031
"it-apparel";1806528031;"/Categorie/Prima infanzia/Bambina 0-24/Mare e piscina/Costumi-pannolino";1730743031;1981112031;465036031;1909428031
"it-apparel";1806529031;"/Categorie/Prima infanzia/Bambina 0-24/Mare e piscina/Costumi a due pezzi";1730744031;1981113031;465033031;1909429031
"it-apparel";1806531031;"/Categorie/Prima infanzia/Bambina 0-24/Magliette e top/Camicie";1730746031;1981115031;464995031;1909431031
"it-apparel";1806532031;"/Categorie/Prima infanzia/Bambina 0-24/Magliette e top/Polo";1730747031;1981116031;464994031;1909432031
"it-apparel";1806533031;"/Categorie/Prima infanzia/Bambina 0-24/Magliette e top/Canotte";1730749031;1981118031;2308669031;1909433031
"it-apparel";1806534031;"/Categorie/Prima infanzia/Bambina 0-24/Magliette e top/Magliette";1730748031;1981117031;464993031;1909434031
"it-apparel";1806535031;"/Categorie/Prima infanzia/Bambina 0-24/Pantaloni";1730750031;1981119031;465005031;1909435031
"it-apparel";1806537031;"/Categorie/Prima infanzia/Bambina 0-24/Intimo/Mutandine e culotte";1730752031;1981121031;465029031;1909437031
"it-apparel";1806538031;"/Categorie/Prima infanzia/Bambina 0-24/Intimo/Coordinati";1730753031;1981122031;465030031;1909438031
"it-apparel";1806539031;"/Categorie/Prima infanzia/Bambina 0-24/Intimo/Mutandine-pannolino";1730754031;1981123031;465028031;1909439031
"it-apparel";1806540031;"/Categorie/Prima infanzia/Bambina 0-24/Intimo/Canottiere";1730755031;1981124031;465027031;1909440031
"it-apparel";1806564031;"/Categorie/Donna/Abbigliamento premaman/Abbigliamento sportivo/Camicie e magliette sportive";1731406031;1981776031;464769031;1909468031
"it-apparel";1806565031;"/Categorie/Donna/Abbigliamento premaman/Abbigliamento sportivo/Pantaloncini sportivi";1731407031;1981777031;464771031;1909469031
"it-apparel";1806566031;"/Categorie/Donna/Abbigliamento premaman/Abbigliamento sportivo/Gonne sportive";1731408031;1981778031;464772031;1909470031
"it-apparel";1806567031;"/Categorie/Donna/Abbigliamento premaman/Abbigliamento sportivo/Pantaloni sportivi";1731409031;1981779031;464770031;1909471031
"it-apparel";1806568031;"/Categorie/Donna/Abbigliamento premaman/Camicie e casacche";1731410031;1981780031;214947031;1909472031
"it-apparel";1806569031;"/Categorie/Donna/Abbigliamento premaman/Abiti";1731411031;1981781031;214949031;1909473031
"it-apparel";1806570031;"/Categorie/Donna/Abbigliamento premaman/Felpe con cappuccio";1731412031;1981782031;464765031;1909474031
"it-apparel";1806571031;"/Categorie/Donna/Abbigliamento premaman/Jeans";1731413031;1981783031;464774031;1909475031
"it-apparel";1806573031;"/Categorie/Donna/Abbigliamento premaman/Maglieria/Cardigan";1731415031;1981785031;464762031;1909477031
"it-apparel";1806574031;"/Categorie/Donna/Abbigliamento premaman/Maglieria/Gilet";1731416031;1981786031;464764031;1909478031
"it-apparel";1806575031;"/Categorie/Donna/Abbigliamento premaman/Maglieria/Pullover";1731417031;1981787031;464763031;1909479031
"it-apparel";1806576031;"/Categorie/Donna/Abbigliamento premaman/Maglieria/Magliette";1731418031;1981788031;2308733031;1909480031
"it-apparel";1806577031;"/Categorie/Donna/Abbigliamento premaman/Leggings";1731419031;1981789031;464776031;1909481031
"it-apparel";1806579031;"/Categorie/Donna/Abbigliamento premaman/Intimo/Fasce di sostegno";1731421031;1981791031;214957031;1909483031
"it-apparel";1806580031;"/Categorie/Donna/Abbigliamento premaman/Intimo/Mutandine per gestante";1731422031;1981792031;214954031;1909484031
"it-apparel";1806581031;"/Categorie/Donna/Abbigliamento premaman/Intimo/Completini intimi";1731423031;1981793031;474356031;1909485031
"it-apparel";1806582031;"/Categorie/Donna/Abbigliamento premaman/Intimo/Reggiseni premaman e da allattamento";1731424031;1981794031;214953031;1909486031
"it-apparel";1806584031;"/Categorie/Donna/Abbigliamento premaman/Pigiami e camicie da notte/Pantaloni da notte";1731426031;1981796031;464794031;1909488031
"it-apparel";1806585031;"/Categorie/Donna/Abbigliamento premaman/Pigiami e camicie da notte/Camicie da notte e vestaglie";1731427031;1981797031;2308734031;1909489031
"it-apparel";1806586031;"/Categorie/Donna/Abbigliamento premaman/Pigiami e camicie da notte/Set coordinati";1731428031;1981798031;464795031;1909490031
"it-apparel";1806587031;"/Categorie/Donna/Abbigliamento premaman/Pigiami e camicie da notte/Maglie da notte";1731429031;1981799031;464793031;1909491031
"it-apparel";1806589031;"/Categorie/Donna/Abbigliamento premaman/Capispalla/Cappotti";1731431031;1981801031;464783031;1909493031
"it-apparel";1806590031;"/Categorie/Donna/Abbigliamento premaman/Capispalla/Gilet";1731432031;1981802031;464785031;1909494031
"it-apparel";1806591031;"/Categorie/Donna/Abbigliamento premaman/Capispalla/Giacche";1731433031;1981803031;464784031;1909495031
"it-apparel";1806592031;"/Categorie/Donna/Abbigliamento premaman/Salopette";1731434031;1981804031;2308735031;1909496031
"it-apparel";1806593031;"/Categorie/Donna/Abbigliamento premaman/Pantaloncini";1731435031;1981805031;464777031;1909497031
"it-apparel";1806594031;"/Categorie/Donna/Abbigliamento premaman/Gonne";1731436031;1981806031;214956031;1909498031
"it-apparel";1806595031;"/Categorie/Donna/Abbigliamento premaman/Tailleur e giacche eleganti";1731437031;1981807031;464781031;1909499031
"it-apparel";1806596031;"/Categorie/Donna/Abbigliamento premaman/Felpe";1731438031;1981808031;464768031;1909500031
"it-apparel";1806599031;"/Categorie/Donna/Abbigliamento premaman/Mare e piscina/Bikini/Pezzo sotto";1731441031;1981811031;2308729031;1909503031
"it-apparel";1806600031;"/Categorie/Donna/Abbigliamento premaman/Mare e piscina/Bikini/Coordinati";1731442031;1981812031;2308730031;1909504031
"it-apparel";1806601031;"/Categorie/Donna/Abbigliamento premaman/Mare e piscina/Bikini/Pezzo sopra";1731443031;1981813031;2308731031;1909505031
"it-apparel";1806602031;"/Categorie/Donna/Abbigliamento premaman/Mare e piscina/Copricostumi e parei";1731444031;1981814031;464804031;1909506031
"it-apparel";1806603031;"/Categorie/Donna/Abbigliamento premaman/Mare e piscina/Costumi interi";1731445031;1981815031;464801031;1909507031
"it-apparel";1806604031;"/Categorie/Donna/Abbigliamento premaman/Mare e piscina/Pantaloncini da mare";1731446031;1981816031;2308732031;1909508031
"it-apparel";1806605031;"/Categorie/Donna/Abbigliamento premaman/Mare e piscina/Tankini";1731447031;1981817031;464802031;1909509031
"it-apparel";1806606031;"/Categorie/Donna/Abbigliamento premaman/Collant e calze";1731448031;1981818031;214958031;1909510031
"it-apparel";1806608031;"/Categorie/Donna/Abbigliamento premaman/Magliette e top/Magliette a maniche lunghe";1731450031;1981820031;2308727031;1909512031
"it-apparel";1806609031;"/Categorie/Donna/Abbigliamento premaman/Magliette e top/Polo";1731451031;1981821031;2308728031;1909513031
"it-apparel";1806610031;"/Categorie/Donna/Abbigliamento premaman/Magliette e top/Magliette a maniche corte";1731452031;1981822031;214946031;1909514031
"it-apparel";1806611031;"/Categorie/Donna/Abbigliamento premaman/Magliette e top/Canotte";1731453031;1981823031;464759031;1909515031
"it-apparel";1806612031;"/Categorie/Donna/Abbigliamento premaman/Pantaloni";1731454031;1981824031;214945031;1909516031
"it-apparel";2154893031;"/Categorie/Donna/Abbigliamento premaman/Intimo/Canotte e sottovesti";2106996031;2106986031;2308736031;4505809031
"it-apparel";2892864031;"/Categorie/Bambine e ragazze/Abiti";1730877031;1981246031;464877031;3074094031
"it-apparel";2892866031;"/Categorie/Bambine e ragazze/Bluse e camicie";1730876031;1981245031;464883031;3074076031
"it-apparel";2892872031;"/Categorie/Bambine e ragazze/Gonne e gonne pantalone";1730890031;1981259031;464904031;3074080031
"it-apparel";2892874031;"/Categorie/Bambine e ragazze/Jeans";1730879031;1981248031;464900031;3074093031
"it-apparel";2892878031;"/Categorie/Bambine e ragazze/Pantaloncini";1730889031;1981258031;464903031;3074083031
"it-apparel";2892879031;"/Categorie/Bambine e ragazze/Pantaloni";1730920031;1981289031;464902031;3074084031
"it-apparel";2892881031;"/Categorie/Bambine e ragazze/Salopette";1730888031;1981257031;464901031;3074081031
"it-apparel";2892887031;"/Categorie/Bambini e ragazzi/Camicie";1730800031;1981169031;464946031;3074096031
"it-apparel";2892893031;"/Categorie/Bambini e ragazzi/Jeans";1730792031;1981161031;464962031;3074113031
"it-apparel";2892894031;"/Categorie/Bambini e ragazzi/Maglieria";1730793031;1981162031;464947031;3074105031
