"General category";"Product Type"
"Home & Garden";"CountertopFoodSteamer"
"Home & Garden";"CountertopGriddleAppliance"
"Home & Garden";"CountertopOven"
"Home & Garden";"Crib"
"Home & Garden";"Curtain"
"Home & Garden";"CurtainFastener"
"Home & Garden";"CurtainSwagHolder"
"Home & Garden";"Cutlery"
"Home & Garden";"CuttingBoard"
"Home & Garden";"DecorativeCutout"
"Home & Garden";"DecorativeMagnet"
"Home & Garden";"DecorativePillowCover"
"Home & Garden";"DeepFryer"
"Home & Garden";"Dehumidifier"
"Home & Garden";"Desk"
"Home & Garden";"Dinnerware"
"Home & Garden";"DishDryingMat"
"Home & Garden";"DishwareBowl"
"Home & Garden";"DishwarePlaceSetting"
"Home & Garden";"DishwarePlate"
"Home & Garden";"DisplayEnclosure"
"Home & Garden";"DisposableIncontinenceSurfaceProtector"
"Home & Garden";"DraftStopper"
"Home & Garden";"DrainStrainer"
"Home & Garden";"Dresser"
"Home & Garden";"DriedPlant"
"Home & Garden";"DrinkCoaster"
"Home & Garden";"DrinkingCup"
"Home & Garden";"DrinkingStraw"
"Home & Garden";"DryingRack"
"Home & Garden";"DustRemovalTool"
"Home & Garden";"DutchOvens"
"Home & Garden";"DuvetCover"
"Home & Garden";"ElectricFan"
"Home & Garden";"ElectricFoodMillGrinder"
"Home & Garden";"ElectricWaterBoiler"
"Home & Garden";"Fabric"
"Home & Garden";"FacialTissueHolder"
"Home & Garden";"Figurine"
"Home & Garden";"FirePit"
"Home & Garden";"Fireplace"
"Home & Garden";"FireScreen"
"Home & Garden";"FittedSheet"
"Home & Garden";"FlameWick"
"Home & Garden";"FlatSheet"
"Home & Garden";"Flatware"
"Home & Garden";"FloorCover"
"Home & Garden";"FoodBlender"
"Home & Garden";"FoodDehydrator"
"Home & Garden";"FoodGrater"
"Home & Garden";"FoodMasher"
"Home & Garden";"FoodMillGrinder"
"Home & Garden";"FoodMixer"
"Home & Garden";"FoodOrBeverageWarmer"
"Home & Garden";"FoodPreparationMold"
"Home & Garden";"FoodProcessor"
"Home & Garden";"FoodScoop"
"Home & Garden";"FoodShaker"
"Home & Garden";"FoodSlicer"
"Home & Garden";"FoodSmoker"
"Home & Garden";"FoodSpatula"
"Home & Garden";"FoodStrainer"
"Home & Garden";"FoodWrap"
"Home & Garden";"Fork"
"Home & Garden";"Fountain"
"Home & Garden";"FreestandingShelter"
"Home & Garden";"FreshCutFlowersPlants"
"Home & Garden";"FurnitureAndDecor"
