"Node root";"Node ID";"Node Path";"Node Id in UK";"Node Id in DE";"Node Id in IT";"Node Id in ES"
"fr-apparel";464804031;"/Catégories/Femme/Vêtements grossesse et maternité/Maillots de bain/Paréos";1731444031;1981814031;1806602031;1909506031
"fr-apparel";464806031;"/Catégories/Homme/T-shirts et Polos/T-shirts";1731028031;1981397031;2893334031;3074182031
"fr-apparel";464807031;"/Catégories/Homme/T-shirts et Polos/Polos";1731027031;1981396031;2893333031;3074184031
"fr-apparel";464809031;"/Catégories/Homme/Sweats à capuche";1730980031;1981349031;3841318031;2949376031
"fr-apparel";464812031;"/Catégories/Homme/Sweat-shirts";1731021031;1981390031;3841317031;2949377031
"fr-apparel";464813031;"/Catégories/Homme/Vêtements de sport/Vestes de sport";1730979031;1981348031;3841319031;2949375031
"fr-apparel";464814031;"/Catégories/Homme/Vêtements de sport/T-shirts de sport";1730972031;1981341031;3841315031;2949366031
"fr-apparel";464815031;"/Catégories/Homme/Vêtements de sport/Pulls et polaires de sport";1730970031;1981339031;3841324031;2949364031
"fr-apparel";464816031;"/Catégories/Homme/Vêtements de sport/Pantalons de sport";1730976031;1981345031;3841326031;2949370031
"fr-apparel";464817031;"/Catégories/Homme/Vêtements de sport/Shorts de sport";1730973031;1981342031;3841325031;2949367031
"fr-apparel";464818031;"/Catégories/Homme/Vêtements de sport/Survêtements";1730975031;1981344031;3841327031;2949369031
"fr-apparel";464821031;"/Catégories/Homme/Vêtements de sport/Chaussettes de sport";1730978031;1981347031;3841314031;2949374031
"fr-apparel";464822031;"/Catégories/Homme/Vêtements de sport/Gilets de sport";1730969031;1981338031;3841320031;2949363031
"fr-apparel";464824031;"/Catégories/Homme/Pulls et gilets/Pulls";1730985031;1981354031;2893318031;3074193031
"fr-apparel";464825031;"/Catégories/Homme/Pulls et gilets/Gilets";1730983031;1981352031;2893316031;3074192031
"fr-apparel";464827031;"/Catégories/Homme/Pulls et gilets/Gilets sans manche";1730984031;1981353031;2893317031;3074191031
"fr-apparel";464829031;"/Catégories/Homme/Chemises/Chemises business";1731001031;1981370031;2893303031;3074187031
"fr-apparel";464830031;"/Catégories/Homme/Chemises/Chemises habillées";1731000031;1981369031;2893304031;3074186031
"fr-apparel";464831031;"/Catégories/Homme/Chemises/Chemises casual";1730999031;1981368031;2893302031;3074185031
"fr-apparel";464833031;"/Catégories/Homme/Costumes et vestes/Costumes";1731016031;1981385031;2893276031;3074233031
"fr-apparel";464834031;"/Catégories/Homme/Costumes et vestes/Pantalons de costume";1731015031;1981384031;2893281031;3074232031
"fr-apparel";464835031;"/Catégories/Homme/Costumes et vestes/Vestes de costume";1731014031;1981383031;2893278031;3074229031
"fr-apparel";464836031;"/Catégories/Homme/Costumes et vestes/Blazers";1731013031;1981382031;2893277031;3074226031
"fr-apparel";464837031;"/Catégories/Homme/Costumes et vestes/Smoking";1731019031;1981388031;2893283031;3074230031
"fr-apparel";464838031;"/Catégories/Homme/Costumes et vestes/Vestes de smoking";1731017031;1981386031;2893279031;3074228031
"fr-apparel";464839031;"/Catégories/Homme/Costumes et vestes/Pantalons de smoking";1731018031;1981387031;2893282031;3074231031
"fr-apparel";464840031;"/Catégories/Homme/Costumes et vestes/Gilets";1731020031;1981389031;2893280031;3074227031
"fr-apparel";464841031;"/Catégories/Homme/Jeans";1730981031;1981350031;2892945031;3074051031
"fr-apparel";464842031;"/Catégories/Homme/Pantalons";1731030031;1981399031;2892950031;3074041031
"fr-apparel";464843031;"/Catégories/Homme/Shorts et bermudas";1731002031;1981371031;2892949031;3074040031
"fr-apparel";464845031;"/Catégories/Homme/Maillots de bain/Shorts de bain";1731024031;1981393031;3950210031;2949380031
"fr-apparel";464847031;"/Catégories/Homme/Maillots de bain/Slips";1731023031;1981392031;3950211031;2949379031
"fr-apparel";464850031;"/Catégories/Homme/Manteaux et blousons/Manteaux";1730994031;1981363031;2893305031;3074194031
"fr-apparel";464852031;"/Catégories/Homme/Manteaux et blousons/Manteaux sans manche";1730995031;1981364031;2893307031;3074195031
"fr-apparel";464854031;"/Catégories/Homme/Vêtements imperméables/Manteaux imperméables";1731005031;1981374031;2893321031;3074215031
"fr-apparel";464855031;"/Catégories/Homme/Vêtements imperméables/Pantalons de pluie";1731004031;1981373031;2893323031;3074216031
"fr-apparel";464856031;"/Catégories/Homme/Vêtements imperméables/Combinaisons de neige";1731007031;1981376031;2893324031;3074218031
"fr-apparel";464857031;"/Catégories/Homme/Vêtements imperméables/Pantalons et salopettes de neige";1731006031;1981375031;2893322031;3074217031
"fr-apparel";464862031;"/Catégories/Homme/Sous-vêtements/Strings";1731034031;1981403031;2893313031;3074224031
"fr-apparel";464864031;"/Catégories/Homme/Sous-vêtements/Slips";1731033031;1981402031;2893314031;3074223031
"fr-apparel";464865031;"/Catégories/Homme/Sous-vêtements/Caleçons";1731039031;1981408031;2893312031;3074220031
"fr-apparel";464866031;"/Catégories/Homme/Sous-vêtements/Boxers";1731032031;1981401031;2893309031;3074219031
"fr-apparel";464867031;"/Catégories/Homme/Sous-vêtements/Maillots de corps";1731040031;1981409031;2893310031;3074221031
"fr-apparel";464869031;"/Catégories/Homme/Vêtements de nuit/Hauts de pyjama";1730992031;1981361031;2893326031;3074199031
"fr-apparel";464870031;"/Catégories/Homme/Vêtements de nuit/Bas de pyjama";1730990031;1981359031;2893328031;3074201031
"fr-apparel";464871031;"/Catégories/Homme/Vêtements de nuit/Ensembles de pyjama";1730991031;1981360031;2893329031;3074202031
"fr-apparel";464872031;"/Catégories/Homme/Sous-vêtements/Sous-vêtements thermiques/Hauts thermiques";1731038031;1981407031;2893636031;3074609031
"fr-apparel";464873031;"/Catégories/Homme/Sous-vêtements/Sous-vêtements thermiques/Bas thermiques";1731036031;1981405031;2893635031;3074611031
