"Node root";"Node ID";"Node Path";"Node Id in UK";"Node Id in FR";"Node Id in IT";"Node Id in ES"
"de-apparel";1981092031;"/Kategorien/Baby/Mädchen (0 -24 Monate)/Schlafanzüge & Bademäntel/Nachthemden";1730723031;465019031;1806509031;1909409031
"de-apparel";1981093031;"/Kategorien/Baby/Mädchen (0 -24 Monate)/Schlafanzüge & Bademäntel/Schlafanzughosen";1730724031;465016031;1806510031;1909410031
"de-apparel";1981094031;"/Kategorien/Baby/Mädchen (0 -24 Monate)/Schlafanzüge & Bademäntel/Zweiteilige Schlafanzüge";1730725031;465017031;1806511031;1909411031
"de-apparel";1981095031;"/Kategorien/Baby/Mädchen (0 -24 Monate)/Schlafanzüge & Bademäntel/Schlafanzugoberteile";1730726031;465015031;1806512031;1909412031
"de-apparel";1981096031;"/Kategorien/Baby/Mädchen (0 -24 Monate)/Schlafanzüge & Bademäntel/Bademäntel";1730727031;465020031;1806513031;1909413031
"de-apparel";1981097031;"/Kategorien/Baby/Mädchen (0 -24 Monate)/Schlafanzüge & Bademäntel/Schlafsäcke";1730728031;465021031;1806514031;1909414031
"de-apparel";1981098031;"/Kategorien/Baby/Mädchen (0 -24 Monate)/Schlafanzüge & Bademäntel/Schlafstrampler";1730729031;2308671031;1806515031;1909415031
"de-apparel";1981100031;"/Kategorien/Baby/Mädchen (0 -24 Monate)/Schnee- & Regenbekleidung/Regenhosen";1730731031;465013031;1806517031;1909417031
"de-apparel";1981101031;"/Kategorien/Baby/Mädchen (0 -24 Monate)/Schnee- & Regenbekleidung/Regenmäntel";1730732031;495169031;1806518031;1909418031
"de-apparel";1981102031;"/Kategorien/Baby/Mädchen (0 -24 Monate)/Schnee- & Regenbekleidung/Schneehosen";1730733031;495168031;1806519031;1909419031
"de-apparel";1981103031;"/Kategorien/Baby/Mädchen (0 -24 Monate)/Schnee- & Regenbekleidung/Schneeanzüge";1730734031;495167031;1806520031;1909420031
"de-apparel";1981105031;"/Kategorien/Baby/Mädchen (0 -24 Monate)/Socken & Strumpfhosen/Stulpen";1730736031;465025031;1806522031;1909422031
"de-apparel";1981106031;"/Kategorien/Baby/Mädchen (0 -24 Monate)/Socken & Strumpfhosen/Socken";1730737031;465023031;1806523031;1909423031
"de-apparel";1981107031;"/Kategorien/Baby/Mädchen (0 -24 Monate)/Socken & Strumpfhosen/Strumpfhosen";1730738031;465024031;1806524031;1909424031
"de-apparel";1981108031;"/Kategorien/Baby/Mädchen (0 -24 Monate)/Leggings";1730739031;2308668031;1806500031;1909400031
"de-apparel";1981110031;"/Kategorien/Baby/Mädchen (0 -24 Monate)/Badebekleidung/Pareos & Strandkleider";1730741031;465035031;1806526031;1909426031
"de-apparel";1981111031;"/Kategorien/Baby/Mädchen (0 -24 Monate)/Badebekleidung/Badeanzüge";1730742031;465032031;1806527031;1909427031
"de-apparel";1981112031;"/Kategorien/Baby/Mädchen (0 -24 Monate)/Badebekleidung/Schwimmwindeln";1730743031;465036031;1806528031;1909428031
"de-apparel";1981113031;"/Kategorien/Baby/Mädchen (0 -24 Monate)/Badebekleidung/Zweiteiler";1730744031;465033031;1806529031;1909429031
"de-apparel";1981115031;"/Kategorien/Baby/Mädchen (0 -24 Monate)/Shirts & Blusen/Blusen";1730746031;464995031;1806531031;1909431031
"de-apparel";1981116031;"/Kategorien/Baby/Mädchen (0 -24 Monate)/Shirts & Blusen/Poloshirts";1730747031;464994031;1806532031;1909432031
